1,Time,I,,2,Time,I,,3,Time,I,,,4,Time,I,,5,Time,I,,6,Time,I,,7,Time,I,,8,Time,I,,9,Time,I,,10,Time,I,,11,Time,I,,12,Time,I,,13,Time,I,,14,Time,I,,15,Time,I,,16,Time,I,,17,Time,I,,18,Time,I,,19,Time,I,,20,Time,I
,803.099975585937500,689.697265625000000,,,3448.310058593750000,698.242187500000000,,,8688.639648437500000,694.580078125000000,,,,13283.610351562500000,693.359375000000000,,,16853.890625000000000,698.852539062500000,,,25074.890625000000000,700.073242187500000,,,25640.750000000000000,706.176757812500000,,,28209.050781250000000,703.125000000000000,,,31184.800781250000000,706.787109375000000,,,32542.630859375000000,702.514648437500000,,,36645.410156250000000,709.838867187500000,,,37709.171875000000000,703.125000000000000,,,39262.039062500000000,706.787109375000000,,,45715.449218750000000,693.969726562500000,,,46458.621093750000000,701.293945312500000,,,51385.750000000000000,708.007812500000000,,,57939.859375000000000,695.800781250000000,,,58157.871093750000000,703.125000000000000,,,66838.023437500000000,705.566406250000000,,,87131.437500000000000,698.852539062500000
,803.109985351562500,687.866210937500000,,,3448.320068359375000,700.683593750000000,,,8688.650390625000000,691.528320312500000,,,,13283.620117187500000,696.411132812500000,,,16853.900390625000000,698.852539062500000,,,25074.900390625000000,701.904296875000000,,,25640.759765625000000,705.566406250000000,,,28209.060546875000000,704.345703125000000,,,31184.810546875000000,702.514648437500000,,,32542.640625000000000,705.566406250000000,,,36645.421875000000000,710.449218750000000,,,37709.179687500000000,706.176757812500000,,,39262.050781250000000,701.293945312500000,,,45715.460937500000000,697.631835937500000,,,46458.628906250000000,704.956054687500000,,,51385.761718750000000,704.345703125000000,,,57939.871093750000000,700.683593750000000,,,58157.878906250000000,704.345703125000000,,,66838.031250000000000,706.176757812500000,,,87131.453125000000000,698.242187500000000
,803.119995117187500,690.917968750000000,,,3448.330078125000000,702.514648437500000,,,8688.660156250000000,693.969726562500000,,,,13283.629882812500000,696.411132812500000,,,16853.910156250000000,692.749023437500000,,,25074.910156250000000,704.956054687500000,,,25640.769531250000000,707.397460937500000,,,28209.070312500000000,703.125000000000000,,,31184.820312500000000,701.904296875000000,,,32542.650390625000000,700.683593750000000,,,36645.429687500000000,708.007812500000000,,,37709.191406250000000,705.566406250000000,,,39262.058593750000000,702.514648437500000,,,45715.468750000000000,693.969726562500000,,,46458.640625000000000,702.514648437500000,,,51385.769531250000000,705.566406250000000,,,57939.878906250000000,696.411132812500000,,,58157.890625000000000,704.345703125000000,,,66838.039062500000000,707.397460937500000,,,87131.460937500000000,702.514648437500000
,803.130004882812500,687.255859375000000,,,3448.340087890625000,697.021484375000000,,,8688.669921875000000,693.969726562500000,,,,13283.639648437500000,693.969726562500000,,,16853.919921875000000,694.580078125000000,,,25074.919921875000000,703.125000000000000,,,25640.779296875000000,707.397460937500000,,,28209.080078125000000,702.514648437500000,,,31184.830078125000000,703.735351562500000,,,32542.660156250000000,704.956054687500000,,,36645.441406250000000,714.111328125000000,,,37709.199218750000000,701.904296875000000,,,39262.070312500000000,702.514648437500000,,,45715.480468750000000,698.852539062500000,,,46458.648437500000000,703.735351562500000,,,51385.781250000000000,703.735351562500000,,,57939.890625000000000,698.852539062500000,,,58157.898437500000000,698.852539062500000,,,66838.046875000000000,705.566406250000000,,,87131.468750000000000,703.125000000000000
,803.140014648437500,686.645507812500000,,,3448.350097656250000,696.411132812500000,,,8688.679687500000000,691.528320312500000,,,,13283.650390625000000,698.852539062500000,,,16853.929687500000000,693.359375000000000,,,25074.929687500000000,705.566406250000000,,,25640.789062500000000,704.345703125000000,,,28209.089843750000000,702.514648437500000,,,31184.839843750000000,703.125000000000000,,,32542.669921875000000,705.566406250000000,,,36645.449218750000000,710.449218750000000,,,37709.210937500000000,704.345703125000000,,,39262.078125000000000,697.631835937500000,,,45715.488281250000000,696.411132812500000,,,46458.660156250000000,704.345703125000000,,,51385.789062500000000,701.904296875000000,,,57939.898437500000000,700.073242187500000,,,58157.910156250000000,703.125000000000000,,,66838.062500000000000,709.228515625000000,,,87131.476562500000000,703.125000000000000
,803.150024414062500,686.645507812500000,,,3448.360107421875000,703.735351562500000,,,8688.690429687500000,693.969726562500000,,,,13283.660156250000000,697.021484375000000,,,16853.939453125000000,692.749023437500000,,,25074.939453125000000,709.838867187500000,,,25640.800781250000000,711.059570312500000,,,28209.099609375000000,704.956054687500000,,,31184.849609375000000,703.125000000000000,,,32542.679687500000000,701.293945312500000,,,36645.460937500000000,711.669921875000000,,,37709.218750000000000,703.735351562500000,,,39262.089843750000000,700.683593750000000,,,45715.500000000000000,696.411132812500000,,,46458.671875000000000,704.956054687500000,,,51385.800781250000000,701.293945312500000,,,57939.910156250000000,698.852539062500000,,,58157.921875000000000,701.293945312500000,,,66838.070312500000000,707.397460937500000,,,87131.492187500000000,703.125000000000000
,803.159973144531250,685.424804687500000,,,3448.370117187500000,694.580078125000000,,,8688.700195312500000,694.580078125000000,,,,13283.669921875000000,697.631835937500000,,,16853.949218750000000,693.969726562500000,,,25074.949218750000000,704.345703125000000,,,25640.810546875000000,707.397460937500000,,,28209.109375000000000,701.293945312500000,,,31184.859375000000000,708.007812500000000,,,32542.689453125000000,705.566406250000000,,,36645.468750000000000,711.669921875000000,,,37709.230468750000000,701.293945312500000,,,39262.101562500000000,701.293945312500000,,,45715.511718750000000,700.073242187500000,,,46458.679687500000000,702.514648437500000,,,51385.808593750000000,701.904296875000000,,,57939.921875000000000,698.242187500000000,,,58157.929687500000000,698.242187500000000,,,66838.078125000000000,709.838867187500000,,,87131.500000000000000,703.735351562500000
,803.169982910156250,683.593750000000000,,,3448.379882812500000,697.631835937500000,,,8688.709960937500000,690.917968750000000,,,,13283.679687500000000,701.293945312500000,,,16853.960937500000000,693.969726562500000,,,25074.960937500000000,708.618164062500000,,,25640.820312500000000,708.618164062500000,,,28209.119140625000000,705.566406250000000,,,31184.869140625000000,706.787109375000000,,,32542.699218750000000,702.514648437500000,,,36645.480468750000000,709.228515625000000,,,37709.238281250000000,703.125000000000000,,,39262.109375000000000,700.683593750000000,,,45715.519531250000000,699.462890625000000,,,46458.691406250000000,706.176757812500000,,,51385.820312500000000,699.462890625000000,,,57939.929687500000000,703.735351562500000,,,58157.941406250000000,700.683593750000000,,,66838.093750000000000,710.449218750000000,,,87131.507812500000000,700.683593750000000
,803.179992675781250,688.476562500000000,,,3448.389892578125000,695.190429687500000,,,8688.719726562500000,693.969726562500000,,,,13283.690429687500000,697.631835937500000,,,16853.970703125000000,692.749023437500000,,,25074.970703125000000,705.566406250000000,,,25640.830078125000000,708.618164062500000,,,28209.130859375000000,701.293945312500000,,,31184.880859375000000,709.838867187500000,,,32542.710937500000000,701.293945312500000,,,36645.488281250000000,709.228515625000000,,,37709.250000000000000,701.293945312500000,,,39262.121093750000000,705.566406250000000,,,45715.531250000000000,698.242187500000000,,,46458.699218750000000,703.125000000000000,,,51385.828125000000000,703.125000000000000,,,57939.941406250000000,697.021484375000000,,,58157.949218750000000,700.683593750000000,,,66838.101562500000000,708.618164062500000,,,87131.523437500000000,702.514648437500000
,803.190002441406250,687.255859375000000,,,3448.399902343750000,693.969726562500000,,,8688.730468750000000,692.138671875000000,,,,13283.700195312500000,697.631835937500000,,,16853.980468750000000,698.242187500000000,,,25074.980468750000000,704.956054687500000,,,25640.839843750000000,706.787109375000000,,,28209.140625000000000,700.073242187500000,,,31184.890625000000000,710.449218750000000,,,32542.720703125000000,707.397460937500000,,,36645.500000000000000,712.890625000000000,,,37709.261718750000000,698.852539062500000,,,39262.128906250000000,705.566406250000000,,,45715.539062500000000,703.735351562500000,,,46458.710937500000000,704.345703125000000,,,51385.839843750000000,700.683593750000000,,,57939.949218750000000,700.073242187500000,,,58157.960937500000000,697.021484375000000,,,66838.109375000000000,708.007812500000000,,,87131.531250000000000,699.462890625000000
,803.200012207031250,690.917968750000000,,,3448.409912109375000,692.749023437500000,,,8688.740234375000000,694.580078125000000,,,,13283.709960937500000,698.852539062500000,,,16853.990234375000000,695.800781250000000,,,25074.990234375000000,705.566406250000000,,,25640.849609375000000,706.787109375000000,,,28209.150390625000000,703.125000000000000,,,31184.900390625000000,708.007812500000000,,,32542.730468750000000,703.735351562500000,,,36645.511718750000000,708.007812500000000,,,37709.269531250000000,702.514648437500000,,,39262.140625000000000,703.125000000000000,,,45715.550781250000000,698.242187500000000,,,46458.718750000000000,706.176757812500000,,,51385.851562500000000,699.462890625000000,,,57939.960937500000000,697.631835937500000,,,58157.968750000000000,702.514648437500000,,,66838.117187500000000,709.228515625000000,,,87131.539062500000000,702.514648437500000
,803.210021972656250,690.307617187500000,,,3448.419921875000000,697.631835937500000,,,8688.750000000000000,695.190429687500000,,,,13283.719726562500000,694.580078125000000,,,16854.000000000000000,698.242187500000000,,,25075.000000000000000,705.566406250000000,,,25640.859375000000000,709.228515625000000,,,28209.160156250000000,701.293945312500000,,,31184.910156250000000,707.397460937500000,,,32542.740234375000000,703.735351562500000,,,36645.519531250000000,712.280273437500000,,,37709.281250000000000,700.073242187500000,,,39262.148437500000000,708.007812500000000,,,45715.558593750000000,700.683593750000000,,,46458.730468750000000,705.566406250000000,,,51385.859375000000000,702.514648437500000,,,57939.968750000000000,698.242187500000000,,,58157.980468750000000,701.293945312500000,,,66838.132812500000000,706.787109375000000,,,87131.546875000000000,697.631835937500000
,803.219970703125000,691.528320312500000,,,3448.429931640625000,695.190429687500000,,,8688.759765625000000,695.190429687500000,,,,13283.730468750000000,695.800781250000000,,,16854.009765625000000,702.514648437500000,,,25075.009765625000000,702.514648437500000,,,25640.869140625000000,705.566406250000000,,,28209.169921875000000,701.904296875000000,,,31184.919921875000000,708.007812500000000,,,32542.750000000000000,705.566406250000000,,,36645.531250000000000,712.280273437500000,,,37709.289062500000000,699.462890625000000,,,39262.160156250000000,704.956054687500000,,,45715.570312500000000,700.683593750000000,,,46458.738281250000000,704.956054687500000,,,51385.871093750000000,701.904296875000000,,,57939.980468750000000,697.021484375000000,,,58157.988281250000000,701.293945312500000,,,66838.140625000000000,708.618164062500000,,,87131.562500000000000,698.242187500000000
,803.229980468750000,692.138671875000000,,,3448.439941406250000,700.073242187500000,,,8688.769531250000000,694.580078125000000,,,,13283.740234375000000,698.852539062500000,,,16854.019531250000000,700.683593750000000,,,25075.019531250000000,706.787109375000000,,,25640.880859375000000,712.890625000000000,,,28209.179687500000000,706.176757812500000,,,31184.929687500000000,703.735351562500000,,,32542.759765625000000,702.514648437500000,,,36645.539062500000000,711.059570312500000,,,37709.300781250000000,704.956054687500000,,,39262.171875000000000,703.735351562500000,,,45715.578125000000000,697.631835937500000,,,46458.750000000000000,707.397460937500000,,,51385.878906250000000,699.462890625000000,,,57939.988281250000000,700.683593750000000,,,58158.000000000000000,701.293945312500000,,,66838.148437500000000,709.838867187500000,,,87131.570312500000000,698.852539062500000
